DateTime,Value
1591651124,4.0
1591651125,3.0
1591651126,3.0
1591651127,1.0
1591651128,0.0
1591651129,0.0
1591651130,0.0
1591651131,0.0
1591651132,0.0
1591651133,0.0
1591651134,0.0
1591651135,0.0
1591651136,0.0
1591651137,0.0
1591651138,0.0
1591651139,0.0
1591651140,0.0
1591651141,0.0
1591651142,0.0
1591651143,0.0
1591651144,0.0
1591651145,0.0
1591651146,0.0
1591651147,0.0
1591651148,0.0
1591651149,0.0
1591651150,0.0
1591651151,0.0
1591651152,0.0
1591651153,0.0
1591651154,0.0
1591651155,0.0
1591651156,0.0
1591651157,0.0
1591651158,0.0
1591651159,0.0
1591651160,0.0
1591651161,0.0
1591651162,0.0
1591651163,0.0
1591651164,0.0
1591651165,0.0
1591651166,0.0
1591651167,0.0
1591651168,0.0
1591651169,0.0
1591651170,0.0
1591651171,0.0
1591651172,0.0
1591651173,0.0
1591651174,0.0
1591651175,0.0
1591651176,0.0
1591651177,0.0
1591651178,0.0
1591651179,0.0
1591651180,0.0
1591651181,0.0
1591651182,0.0
1591651183,0.0
1591651184,0.0
1591651185,0.0
1591651186,0.0
1591651187,0.0
1591651188,0.0
1591651189,0.0
1591651190,0.0
1591651191,0.0
1591651192,0.0
1591651193,0.0
1591651194,0.0
1591651195,0.0
1591651196,0.0
1591651197,0.0
1591651198,0.0
1591651199,0.0
1591651200,0.0
1591651201,0.0
1591651202,0.0
1591651203,0.0
1591651204,0.0
1591651205,0.0
1591651206,0.0
1591651207,0.0
1591651208,0.0
1591651209,0.0
1591651210,0.0
1591651211,0.0
1591651212,0.0
1591651213,0.0
1591651214,0.0
1591651215,0.0
1591651216,0.0
1591651217,0.0
1591651218,0.0
1591651219,0.0
1591651220,0.0
1591651221,0.0
1591651222,0.0
1591651223,0.0
1591651224,0.0
1591651225,0.0
1591651226,0.0
1591651227,0.0
1591651228,0.0
1591651229,0.0
1591651230,0.0
1591651231,0.0
1591651232,0.0
1591651233,0.0
1591651234,0.0
1591651235,0.0
1591651236,0.0
1591651237,0.0
1591651238,2.0
1591651239,14.0
1591651240,16.0
1591651241,19.0
1591651242,22.0
1591651243,25.0
1591651244,27.0
1591651245,29.0
1591651246,30.0
1591651247,31.0
1591651248,32.0
1591651249,33.0
1591651250,33.0
1591651251,33.0
1591651252,33.0
1591651253,31.0
1591651254,29.0
1591651255,21.0
1591651256,20.0
1591651257,19.0
1591651258,19.0
1591651259,18.0
1591651260,20.0
1591651261,21.0
1591651262,22.0
1591651263,21.0
1591651264,21.0
1591651265,22.0
1591651266,24.0
1591651267,26.0
1591651268,27.0
1591651269,28.0
1591651270,29.0
1591651271,30.0
1591651272,30.0
1591651273,31.0
1591651274,32.0
1591651275,32.0
1591651276,33.0
1591651277,34.0
1591651278,33.0
1591651279,33.0
1591651280,30.0
1591651281,28.0
1591651282,21.0
1591651283,15.0
1591651284,10.0
1591651285,7.0
1591651286,4.0
1591651287,3.0
1591651288,3.0
1591651289,6.0
1591651290,7.0
1591651291,8.0
1591651292,10.0
1591651293,16.0
1591651294,19.0
1591651295,21.0
1591651296,22.0
1591651297,23.0
1591651298,24.0
1591651299,25.0
1591651300,26.0
1591651301,27.0
1591651302,28.0
1591651303,29.0
1591651304,30.0
1591651305,31.0
1591651306,31.0
1591651307,32.0
1591651308,31.0
1591651309,29.0
1591651310,26.0
1591651311,24.0
1591651312,6.0
1591651313,5.0
1591651314,3.0
1591651315,5.0
1591651316,7.0
1591651317,12.0
1591651318,14.0
1591651319,16.0
1591651320,20.0
1591651321,22.0
1591651322,24.0
1591651323,26.0
1591651324,27.0
1591651325,28.0
1591651326,29.0
1591651327,29.0
1591651328,29.0
1591651329,31.0
1591651330,32.0
1591651331,31.0
1591651332,30.0
1591651333,30.0
1591651334,28.0
1591651335,27.0
1591651336,27.0
1591651337,22.0
1591651338,21.0
1591651339,17.0
1591651340,12.0
1591651341,8.0
1591651342,6.0
1591651343,3.0
1591651344,3.0
1591651345,3.0
1591651346,0.0
1591651347,0.0
1591651348,0.0
1591651349,0.0
1591651350,0.0
1591651351,0.0
1591651352,0.0
1591651353,0.0
1591651354,0.0
1591651355,0.0
1591651356,0.0
1591651357,0.0
1591651358,0.0
1591651359,0.0
1591651360,0.0
1591651361,0.0
1591651362,0.0
1591651363,0.0
1591651364,0.0
1591651365,0.0
1591651366,0.0
1591651367,0.0
1591651368,0.0
1591651369,0.0
1591651370,0.0
1591651371,0.0
1591651372,0.0
1591651373,0.0
1591651374,0.0
1591651375,0.0
1591651376,0.0
1591651377,0.0
1591651378,0.0
1591651379,0.0
1591651380,0.0
1591651381,0.0
1591651382,0.0
1591651383,0.0
1591651384,0.0
1591651385,0.0
1591651386,0.0
1591651387,0.0
1591651388,0.0
1591651389,0.0
1591651390,0.0
1591651391,0.0
1591651392,0.0
1591651393,0.0
1591651394,0.0
1591651395,0.0
1591651396,0.0
1591651397,0.0
1591651398,0.0
1591651399,0.0
1591651400,0.0
1591651401,0.0
1591651402,0.0
1591651403,0.0
