DateTime,Latitude,Longitude
2020-07-23 17:02:21.188000+00:00,43.446682,-79.745766
2020-07-23 17:02:22.125000+00:00,43.44658,-79.745636
2020-07-23 17:02:23.125000+00:00,43.446503,-79.74554
2020-07-23 17:02:24.125000+00:00,43.446453,-79.74541
2020-07-23 17:02:25.125000+00:00,43.446373,-79.74531
2020-07-23 17:02:26.125000+00:00,43.446297,-79.7452
2020-07-23 17:02:27.125000+00:00,43.446247,-79.7451
2020-07-23 17:02:28.125000+00:00,43.446194,-79.745026
2020-07-23 17:02:29.125000+00:00,43.44617,-79.74497
2020-07-23 17:02:30.063000+00:00,43.44617,-79.74495
2020-07-23 17:02:31.188000+00:00,43.446144,-79.74495
2020-07-23 17:02:32.125000+00:00,43.446144,-79.74495
2020-07-23 17:02:33.125000+00:00,43.446144,-79.74492
2020-07-23 17:02:34.125000+00:00,43.446117,-79.74487
2020-07-23 17:02:35.125000+00:00,43.446117,-79.74482
2020-07-23 17:02:36.125000+00:00,43.446144,-79.74474
2020-07-23 17:02:37.125000+00:00,43.446194,-79.74469
2020-07-23 17:02:38.125000+00:00,43.446247,-79.74461
2020-07-23 17:02:39.125000+00:00,43.446297,-79.74456
2020-07-23 17:02:40.125000+00:00,43.446373,-79.744484
2020-07-23 17:02:41.188000+00:00,43.446426,-79.744385
2020-07-23 17:02:42.125000+00:00,43.446503,-79.74431
2020-07-23 17:02:43.125000+00:00,43.446606,-79.7442
2020-07-23 17:02:44.125000+00:00,43.446682,-79.744125
2020-07-23 17:02:45.125000+00:00,43.44676,-79.744026
2020-07-23 17:02:46.125000+00:00,43.44686,-79.74393
2020-07-23 17:02:47.125000+00:00,43.446938,-79.74382
2020-07-23 17:02:48.125000+00:00,43.447014,-79.74372
2020-07-23 17:02:49.125000+00:00,43.447117,-79.743614
2020-07-23 17:02:50.125000+00:00,43.447193,-79.743515
2020-07-23 17:02:51.188000+00:00,43.44727,-79.74341
2020-07-23 17:02:52.125000+00:00,43.447372,-79.74331
2020-07-23 17:02:53.125000+00:00,43.44745,-79.74323
2020-07-23 17:02:54.125000+00:00,43.447525,-79.743126
2020-07-23 17:02:55.125000+00:00,43.4476,-79.74305
2020-07-23 17:02:56.125000+00:00,43.44768,-79.74295
2020-07-23 17:02:57.125000+00:00,43.447758,-79.742874
2020-07-23 17:02:58.125000+00:00,43.447807,-79.74282
