DateTime,Value
1477094745,1961.5
1477094746,1968.25
1477094747,1971.5
1477094748,1967.75
1477094749,1965.5
1477094750,1962.5
1477094751,1955.25
1477094752,1957.25
1477094753,2147.0
1477094754,2443.75
1477094755,2458.5
1477094756,1926.0
1477094757,2124.25
1477094758,2043.5
1477094759,2228.5
1477094760,2231.5
1477094761,1849.75
1477094762,1847.0
1477094763,1849.75
1477094764,1853.0
1477094765,1866.5
1477094766,1864.25
1477094767,1869.75
1477094768,1877.5
1477094769,1887.5
1477094770,1901.25
1477094771,1910.0
1477094772,1913.75
1477094773,1911.5
1477094774,1908.25
1477094775,1906.0
1477094776,1907.0
1477094777,1910.75
1477094778,1918.5
1477094779,1924.0
1477094780,1929.75
1477094781,1935.75
1477094782,1927.25
1477094783,1923.25
1477094784,1915.5
1477094785,1914.5
1477094786,1919.5
1477094787,1913.25
1477094788,1914.75
1477094789,1913.5
1477094790,1913.75
1477094791,1908.0
1477094792,1909.25
1477094793,1914.0
1477094794,1916.25
1477094795,1922.25
1477094796,1934.0
1477094797,1946.75
1477094798,1958.25
1477094799,1965.0
1477094800,1966.0
1477094801,1971.75
1477094802,1972.0
1477094803,1985.0
1477094804,1988.5
1477094805,1992.0
1477094806,1998.0
1477094807,2005.0
1477094808,2011.75
1477094809,2017.5
1477094810,2022.25
1477094811,2021.5
1477094812,2000.0
1477094813,1988.25
1477094814,1964.25
1477094815,1965.25
1477094816,1965.75
1477094817,1972.75
1477094818,1969.5
1477094819,1968.75
1477094820,1973.5
1477094821,1976.75
1477094822,1993.0
1477094823,2005.0
1477094824,2013.75
1477094825,2025.5
1477094826,2038.5
1477094827,2049.75
1477094828,2056.0
1477094829,2064.0
1477094830,2070.5
1477094831,2061.0
1477094832,2056.75
1477094833,2063.25
1477094834,2066.75
1477094835,2074.25
1477094836,2074.75
1477094837,2077.25
1477094838,2029.75
1477094839,2540.0
1477094840,2683.0
1477094841,2248.75
1477094842,2046.0
1477094843,2056.75
1477094844,2043.0
1477094845,2261.0
1477094846,2611.75
1477094847,2510.25
1477094848,2010.0
1477094849,2010.75
1477094850,2003.25
1477094851,1974.75
1477094852,2027.75
1477094853,2033.25
1477094854,2045.0
1477094855,2246.0
1477094856,2462.0
1477094857,1883.5
1477094858,1853.75
1477094859,1857.0
1477094860,1873.75
1477094861,1880.0
1477094862,1889.75
1477094863,1902.0
1477094864,1902.0
1477094865,1911.25
1477094866,1916.75
1477094867,1921.0
1477094868,1931.75
1477094869,1936.5
1477094870,1933.25
1477094871,1924.75
1477094872,1924.25
1477094873,1904.75
1477094874,1895.0
1477094875,1896.25
1477094876,1895.0
1477094877,1898.0
1477094878,1899.25
1477094879,1896.25
1477094880,1901.5
1477094881,1891.0
1477094882,1879.0
1477094883,1869.25
1477094884,1861.5
1477094885,1865.5
1477094886,1872.0
1477094887,1875.5
1477094888,1867.25
1477094889,1858.5
1477094890,1860.75
1477094891,1858.75
1477094892,1851.75
1477094893,1859.25
1477094894,1866.0
1477094895,1868.25
1477094896,1870.0
1477094897,1871.75
1477094898,1872.25
1477094899,1878.5
1477094900,1880.25
1477094901,1881.25
1477094902,1895.25
1477094903,1904.0
1477094904,1921.25
1477094905,1935.0
1477094906,1934.0
1477094907,1950.25
1477094908,1962.0
1477094909,1963.5
1477094910,1973.25
1477094911,1975.0
1477094912,1993.0
1477094913,1992.5
1477094914,1998.75
1477094915,2001.25
1477094916,2004.25
1477094917,1997.5
1477094918,1999.75
1477094919,2004.25
1477094920,2002.0
1477094921,2004.0
1477094922,2007.5
1477094923,2006.0
1477094924,2004.0
1477094925,1976.25
1477094926,1946.75
1477094927,1937.25
1477094928,1926.5
1477094929,1927.5
1477094930,1915.0
1477094931,1904.0
1477094932,1887.75
1477094933,1879.0
1477094934,1864.25
1477094935,1874.75
1477094936,1866.5
1477094937,1871.75
1477094938,1876.25
1477094939,1876.0
1477094940,1877.0
1477094941,1877.0
1477094942,1865.0
1477094943,1838.5
1477094944,2032.0
1477094945,2641.5
1477094946,2260.75
1477094947,1796.0
1477094948,1813.0
1477094949,1822.0
